1,1,33944
2,1,34884
2,2,39864
4,1,36904
4,2,41784
4,4,49608
8,1,41260
8,2,45800
8,4,53816
8,8,79320
16,1,49332
16,2,54084
16,4,79760
16,8,79816
16,16,109724
32,1,65228
32,2,70296
32,4,78964
32,8,96592
32,16,126140
32,32,190112
64,1,98224
64,2,103052
64,4,111016
64,8,132132
64,16,159040
64,32,223676
64,64,351676
128,1,164396
128,2,169072
128,4,177604
128,8,195664
128,16,224928
128,32,289020
128,64,417388
128,128,673924
256,1,296464
256,2,300372
256,4,308444
256,8,327128
256,16,356476
256,32,421028
256,64,548684
256,128,805800
256,256,1316612
512,1,558980
512,2,563840
512,4,571960
512,8,608516
512,16,620348
512,32,683496
512,64,812116
512,128,1068652
512,256,1118940
