1,1,23180
2,1,23160
2,2,23132
4,1,23232
4,2,23344
4,4,23040
8,1,23020
8,2,23188
8,4,23064
8,8,23152
16,1,23300
16,2,23200
16,4,23116
16,8,23264
16,16,23232
32,1,23236
32,2,23172
32,4,23160
32,8,23252
32,16,23092
32,32,23068
64,1,53668
64,2,55940
64,4,58892
64,8,90144
64,16,79368
64,32,93228
64,64,132972
128,1,119128
128,2,121700
128,4,124656
128,8,130524
128,16,139620
128,32,158968
128,64,197872
128,128,276736
256,1,250600
256,2,253108
256,4,256548
256,8,261724
256,16,271596
256,32,291344
256,64,329872
256,128,408280
256,256,564920
512,1,513996
512,2,516660
512,4,519340
512,8,525304
512,16,534568
512,32,553772
512,64,592972
512,128,672044
512,256,828380
